date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ
2026-08-26,5,10047,0,6,243_2,1,1,7,7
2026-08-26,5,10047,0,8,95_2,1,1,1,1
2026-08-26,5,10047,0,10,6242_1,1,1,1,1
2026-08-26,5,10047,0,12,6255_2,1,1,1,1
2026-08-26,5,10060,1,1,6015_1,1,1,7,7
2026-08-26,5,10060,1,4,6067_1,1,1,1,1
2026-08-26,5,10069,1,1,214_3,2,2,14,7
2026-08-26,6,10032,1,2,6031_1,1,1,1,1
2026-08-26,6,10032,1,5,6176_1,1,1,1,1
2026-08-26,6,10032,1,6,6206_1,1,1,1,1
2026-08-26,6,10032,1,8,6181_1,1,1,1,1
2026-08-26,6,10045,0,1,9_1,1,1,7,7
2026-08-26,6,10050,1,1,6014_1,1,1,1,1
2026-08-26,6,10050,1,4,6018_1,1,1,1,1
2026-08-26,6,10051,0,6,6205_2,1,1,0,0
2026-08-26,6,10051,0,9,6017_2,1,1,0,0
2026-08-26,6,10051,0,11,6067_2,1,1,0,0
2026-08-26,6,10051,0,14,6015_2,1,1,0,0
2026-08-26,6,10060,0,15,6013_2,2,2,2,1
2026-08-26,6,10060,0,16,6212_2,1,1,1,1
2026-08-26,6,10060,0,19,6011_4,1,1,1,1
2026-08-26,6,10060,1,1,6015_1,1,1,7,7
2026-08-26,6,10060,1,3,6248_1,1,1,1,1
2026-08-26,6,10060,1,5,6172_1,1,1,1,1
2026-08-26,6,10060,1,25,9_2,1,1,1,1
2026-08-26,6,10060,1,26,8_3,1,1,1,1
2026-08-26,6,10060,1,27,6_1,1,1,1,1
2026-08-26,6,10060,1,29,5_1,1,1,1,1
2026-08-26,6,10062,1,2,6020_1,1,1,1,1
2026-08-26,6,10062,1,5,6196_1,1,1,1,1
2026-08-26,6,10062,1,6,6263_1,1,1,1,1
2026-08-26,6,10062,1,7,6169_1,1,1,1,1
2026-08-26,6,10067,0,2,215_2,1,1,0,0
2026-08-26,6,10067,0,3,216_2,1,1,0,0
2026-08-26,6,10069,1,2,7213_1,1,1,1,1
2026-08-26,6,10069,1,19,151_1,1,1,1,1
2026-08-26,6,10069,1,21,252_1,1,1,1,1
2026-08-26,6,10069,1,22,186_1,1,1,1,1
2026-08-26,6,10069,1,23,253_1,1,1,1,1
2026-08-26,6,10070,1,1,421_3,1,1,7,7
2026-08-26,6,10070,1,2,422_2,1,1,1,1
2026-08-26,6,10070,1,3,7217_1,1,1,1,1
2026-08-26,6,10070,1,5,216_1,1,1,1,1
