date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ,n_nodata
2026-09-08,7,10001,1,20,200_1,1,1,1,1,0
2026-09-08,7,10001,1,21,184_1,1,1,1,1,0
2026-09-08,7,10001,1,22,201_1,1,1,1,1,0
2026-09-08,7,10001,1,23,51_1,1,1,1,1,0
2026-09-08,7,10018,0,2,59_4,1,0,0,0,1
2026-09-08,7,10018,0,3,57_2,1,0,0,0,1
2026-09-08,7,10018,0,4,56_2,1,1,0,0,0
2026-09-08,7,10018,0,5,55_2,1,1,0,0,0
2026-09-08,7,10031,0,27,91_1,1,1,3,3,0
2026-09-08,7,10031,0,28,6016_1,1,1,3,3,0
2026-09-08,7,10031,0,30,94_1,1,1,3,3,0
2026-09-08,7,10031,0,31,6242_1,1,1,3,3,0
2026-09-08,7,10032,1,51,57_1,1,1,0,0,0
2026-09-08,7,10032,1,52,59_1,1,1,0,0,0
2026-09-08,7,10032,1,53,61_1,1,1,0,0,0
2026-09-08,7,10047,1,8,6181_1,1,1,1,1,0
2026-09-08,7,10047,1,10,6258_1,1,1,1,1,0
2026-09-08,7,10047,1,12,6257_1,1,1,1,1,0
2026-09-08,7,10047,1,14,6094_1,1,1,1,1,0
2026-09-08,7,10047,1,32,9_2,1,1,3,3,0
2026-09-08,7,10047,1,34,6069_1,1,1,1,1,0
2026-09-08,7,10047,1,35,6102_1,1,1,1,1,0
2026-09-08,7,10047,1,37,393_1,1,1,1,1,0
2026-09-08,7,10049,1,13,6244_1,1,1,1,1,0
2026-09-08,7,10049,1,15,6256_1,1,1,1,1,0
2026-09-08,7,10049,1,16,6255_1,1,1,1,1,0
2026-09-08,7,10049,1,17,6064_2,1,1,1,1,0
2026-09-08,7,10050,0,10,6190_2,1,1,1,1,0
2026-09-08,7,10050,1,11,6016_2,1,1,3,3,0
2026-09-08,7,10051,0,1,91_4,1,1,3,3,0
2026-09-08,7,10051,0,2,6016_1,1,1,1,1,0
2026-09-08,7,10051,0,4,6013_2,1,1,1,1,0
2026-09-08,7,10051,1,1,6015_1,1,0,0,0,1
2026-09-08,7,10051,1,5,6172_1,1,1,1,1,0
2026-09-08,7,10051,1,7,6011_1,1,1,1,1,0
2026-09-08,7,10051,1,9,6205_1,1,1,3,3,0
2026-09-08,7,10051,1,11,6013_1,1,1,3,3,0
2026-09-08,7,10053,0,7,447_2,1,1,1,1,0
2026-09-08,7,10053,0,9,14_3,1,1,1,1,0
2026-09-08,7,10053,0,10,15_2,1,1,1,1,0
